id,count,population
00,2,
13500,43,71803
13400,75,187435
11500,335,720600
13200,111,229807
13100,52,180039
13000,133,388436
13700,40,138362
13600,54,236059
11300,445,1170817
11200,1303,2504700
13900,27,82318
13800,39,139711
11900,154,249449
11800,32,72690
10100,25,62248
10800,26,85822
11600,62,114978
14600,200,478127
14700,53,179736
14400,104,304910
14500,114,320247
14200,261,564824
14300,30,66192
14000,147,444874
14100,55,200100
14800,79,283720
Zip Code - 3 digits00,0,
12000,113,330854
12100,138,280446
12200,72,151022
10900,157,537311
12400,61,154261
12500,121,448672
12600,28,86794
12700,45,99295
12800,95,225336
12900,60,164172
10000,774,1502501
14900,16,49642
10600,38,81120
10700,105,227049
10400,1014,1382480
10500,186,646012
13300,45,142936
11400,359,728928
11700,777,1565949
12300,62,162643
OOS00,249,
11100,85,204715
10300,444,468730
11000,86,246333
