id,count,population
00,0,
13500,5,71803
13400,12,187435
11500,69,720600
13200,25,229807
13100,14,180039
13000,19,388436
13700,7,138362
13600,20,236059
11300,103,1170817
11200,313,2504700
13900,9,82318
13800,4,139711
11900,17,249449
11800,15,72690
10100,2,62248
10800,11,85822
11600,11,114978
14600,57,478127
14700,10,179736
14400,22,304910
14500,20,320247
14200,39,564824
14300,7,66192
14000,16,444874
14100,8,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,22,330854
12100,8,280446
12200,13,151022
10900,39,537311
12400,12,154261
12500,18,448672
12600,7,86794
12700,6,99295
12800,13,225336
12900,10,164172
10000,138,1502501
14900,3,49642
10600,5,81120
10700,20,227049
10400,239,1382480
10500,22,646012
13300,4,142936
11400,74,728928
11700,147,1565949
12300,7,162643
OOS00,38,
11100,8,204715
10300,37,468730
11000,30,246333
