id,count,population
00,0,
13500,15,71803
13400,28,187435
11500,52,720600
13200,37,229807
13100,26,180039
13000,44,388436
13700,11,138362
13600,21,236059
11300,103,1170817
11200,174,2504700
13900,6,82318
13800,20,139711
11900,26,249449
11800,5,72690
10100,6,62248
10800,18,85822
11600,13,114978
14600,58,478127
14700,5,179736
14400,27,304910
14500,24,320247
14200,98,564824
14300,9,66192
14000,57,444874
14100,54,200100
14800,22,283720
Zip Code - 3 digits00,0,
12000,42,330854
12100,24,280446
12200,21,151022
10900,41,537311
12400,38,154261
12500,24,448672
12600,7,86794
12700,11,99295
12800,16,225336
12900,13,164172
10000,187,1502501
14900,4,49642
10600,18,81120
10700,21,227049
10400,135,1382480
10500,61,646012
13300,16,142936
11400,57,728928
11700,149,1565949
12300,13,162643
OOS00,19,
11100,17,204715
10300,59,468730
11000,23,246333
