id,count,population
00,1,
13500,0,71803
13400,4,187435
11500,13,720600
13200,6,229807
13100,2,180039
13000,8,388436
13700,5,138362
13600,1,236059
11300,27,1170817
11200,70,2504700
13900,1,82318
13800,4,139711
11900,9,249449
11800,1,72690
10100,1,62248
10800,4,85822
11600,4,114978
14600,14,478127
14700,5,179736
14400,8,304910
14500,8,320247
14200,24,564824
14300,5,66192
14000,11,444874
14100,5,200100
14800,8,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,9,280446
12200,2,151022
10900,7,537311
12400,3,154261
12500,11,448672
12600,0,86794
12700,1,99295
12800,4,225336
12900,1,164172
10000,40,1502501
14900,4,49642
10600,0,81120
10700,11,227049
10400,51,1382480
10500,14,646012
13300,4,142936
11400,12,728928
11700,30,1565949
12300,4,162643
OOS00,28,
11100,8,204715
10300,13,468730
11000,9,246333
