id,count,population
00,1,
13500,1,71803
13400,23,187435
11500,183,720600
13200,27,229807
13100,23,180039
13000,43,388436
13700,21,138362
13600,34,236059
11300,229,1170817
11200,453,2504700
13900,14,82318
13800,21,139711
11900,77,249449
11800,19,72690
10100,6,62248
10800,18,85822
11600,20,114978
14600,127,478127
14700,49,179736
14400,107,304910
14500,118,320247
14200,164,564824
14300,39,66192
14000,197,444874
14100,76,200100
14800,55,283720
Zip Code - 3 digits00,0,
12000,49,330854
12100,36,280446
12200,11,151022
10900,116,537311
12400,17,154261
12500,63,448672
12600,6,86794
12700,15,99295
12800,16,225336
12900,38,164172
10000,203,1502501
14900,9,49642
10600,18,81120
10700,51,227049
10400,251,1382480
10500,117,646012
13300,19,142936
11400,137,728928
11700,358,1565949
12300,12,162643
OOS00,124,
11100,30,204715
10300,95,468730
11000,59,246333
