id,count,population
00,13,
13500,31,71803
13400,71,187435
11500,370,720600
13200,250,229807
13100,114,180039
13000,240,388436
13700,88,138362
13600,126,236059
11300,799,1170817
11200,2101,2504700
13900,44,82318
13800,64,139711
11900,108,249449
11800,34,72690
10100,32,62248
10800,35,85822
11600,137,114978
14600,203,478127
14700,58,179736
14400,82,304910
14500,84,320247
14200,330,564824
14300,58,66192
14000,181,444874
14100,82,200100
14800,118,283720
Zip Code - 3 digits00,0,
12000,147,330854
12100,133,280446
12200,59,151022
10900,309,537311
12400,99,154261
12500,193,448672
12600,30,86794
12700,51,99295
12800,97,225336
12900,94,164172
10000,811,1502501
14900,21,49642
10600,53,81120
10700,131,227049
10400,979,1382480
10500,258,646012
13300,52,142936
11400,429,728928
11700,679,1565949
12300,94,162643
OOS00,196,
11100,111,204715
10300,284,468730
11000,112,246333
