id,count,population
00,12,
13500,241,71803
13400,383,187435
11500,1228,720600
13200,376,229807
13100,259,180039
13000,470,388436
13700,169,138362
13600,330,236059
11300,1577,1170817
11200,3859,2504700
13900,132,82318
13800,188,139711
11900,388,249449
11800,160,72690
10100,66,62248
10800,96,85822
11600,232,114978
14600,605,478127
14700,167,179736
14400,322,304910
14500,310,320247
14200,873,564824
14300,112,66192
14000,570,444874
14100,291,200100
14800,296,283720
Zip Code - 3 digits00,0,
12000,389,330854
12100,365,280446
12200,273,151022
10900,532,537311
12400,236,154261
12500,556,448672
12600,120,86794
12700,138,99295
12800,244,225336
12900,204,164172
10000,2237,1502501
14900,88,49642
10600,120,81120
10700,417,227049
10400,2737,1382480
10500,765,646012
13300,244,142936
11400,1335,728928
11700,2231,1565949
12300,214,162643
OOS00,526,
11100,239,204715
10300,605,468730
11000,395,246333
