id,count,population
00,0,
13500,1,71803
13400,0,187435
11500,18,720600
13200,0,229807
13100,0,180039
13000,2,388436
13700,0,138362
13600,4,236059
11300,23,1170817
11200,23,2504700
13900,1,82318
13800,0,139711
11900,1,249449
11800,0,72690
10100,0,62248
10800,2,85822
11600,1,114978
14600,0,478127
14700,4,179736
14400,1,304910
14500,2,320247
14200,14,564824
14300,4,66192
14000,10,444874
14100,7,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,0,330854
12100,0,280446
12200,0,151022
10900,3,537311
12400,1,154261
12500,5,448672
12600,2,86794
12700,0,99295
12800,0,225336
12900,4,164172
10000,21,1502501
14900,0,49642
10600,0,81120
10700,5,227049
10400,21,1382480
10500,0,646012
13300,1,142936
11400,10,728928
11700,29,1565949
12300,1,162643
OOS00,2,
11100,2,204715
10300,1,468730
11000,4,246333
