id,count,population
00,0,
13500,16,71803
13400,25,187435
11500,98,720600
13200,28,229807
13100,10,180039
13000,48,388436
13700,13,138362
13600,22,236059
11300,96,1170817
11200,357,2504700
13900,8,82318
13800,8,139711
11900,40,249449
11800,10,72690
10100,6,62248
10800,9,85822
11600,36,114978
14600,52,478127
14700,23,179736
14400,16,304910
14500,23,320247
14200,51,564824
14300,9,66192
14000,37,444874
14100,18,200100
14800,10,283720
Zip Code - 3 digits00,0,
12000,50,330854
12100,47,280446
12200,28,151022
10900,56,537311
12400,26,154261
12500,30,448672
12600,3,86794
12700,16,99295
12800,31,225336
12900,24,164172
10000,269,1502501
14900,1,49642
10600,13,81120
10700,24,227049
10400,254,1382480
10500,74,646012
13300,25,142936
11400,115,728928
11700,198,1565949
12300,12,162643
OOS00,69,
11100,18,204715
10300,57,468730
11000,34,246333
