id,count,population
00,1,
13500,46,71803
13400,71,187435
11500,294,720600
13200,100,229807
13100,57,180039
13000,92,388436
13700,38,138362
13600,77,236059
11300,526,1170817
11200,1913,2504700
13900,24,82318
13800,31,139711
11900,102,249449
11800,23,72690
10100,11,62248
10800,28,85822
11600,78,114978
14600,115,478127
14700,36,179736
14400,48,304910
14500,58,320247
14200,201,564824
14300,23,66192
14000,130,444874
14100,48,200100
14800,63,283720
Zip Code - 3 digits00,0,
12000,69,330854
12100,110,280446
12200,50,151022
10900,140,537311
12400,43,154261
12500,102,448672
12600,23,86794
12700,24,99295
12800,48,225336
12900,55,164172
10000,545,1502501
14900,18,49642
10600,20,81120
10700,89,227049
10400,1030,1382480
10500,133,646012
13300,34,142936
11400,404,728928
11700,672,1565949
12300,42,162643
OOS00,117,
11100,78,204715
10300,265,468730
11000,68,246333
