id,count,population
00,0,
13500,11,71803
13400,26,187435
11500,77,720600
13200,37,229807
13100,21,180039
13000,56,388436
13700,17,138362
13600,45,236059
11300,139,1170817
11200,268,2504700
13900,8,82318
13800,13,139711
11900,25,249449
11800,8,72690
10100,3,62248
10800,10,85822
11600,8,114978
14600,43,478127
14700,12,179736
14400,21,304910
14500,26,320247
14200,78,564824
14300,14,66192
14000,55,444874
14100,24,200100
14800,27,283720
Zip Code - 3 digits00,0,
12000,38,330854
12100,37,280446
12200,19,151022
10900,60,537311
12400,22,154261
12500,30,448672
12600,10,86794
12700,6,99295
12800,13,225336
12900,32,164172
10000,127,1502501
14900,6,49642
10600,5,81120
10700,38,227049
10400,181,1382480
10500,44,646012
13300,22,142936
11400,86,728928
11700,189,1565949
12300,18,162643
OOS00,47,
11100,13,204715
10300,79,468730
11000,17,246333
