id,count,population
00,2,
13500,25,71803
13400,92,187435
11500,552,720600
13200,98,229807
13100,101,180039
13000,221,388436
13700,64,138362
13600,187,236059
11300,770,1170817
11200,1954,2504700
13900,34,82318
13800,63,139711
11900,151,249449
11800,38,72690
10100,22,62248
10800,34,85822
11600,127,114978
14600,162,478127
14700,88,179736
14400,89,304910
14500,97,320247
14200,200,564824
14300,48,66192
14000,220,444874
14100,76,200100
14800,151,283720
Zip Code - 3 digits00,0,
12000,134,330854
12100,75,280446
12200,69,151022
10900,238,537311
12400,97,154261
12500,120,448672
12600,35,86794
12700,52,99295
12800,90,225336
12900,75,164172
10000,713,1502501
14900,48,49642
10600,38,81120
10700,179,227049
10400,1320,1382480
10500,191,646012
13300,62,142936
11400,592,728928
11700,888,1565949
12300,69,162643
OOS00,210,
11100,135,204715
10300,345,468730
11000,146,246333
