id,count,population
00,1,
13500,5,71803
13400,6,187435
11500,40,720600
13200,16,229807
13100,6,180039
13000,30,388436
13700,8,138362
13600,15,236059
11300,70,1170817
11200,141,2504700
13900,1,82318
13800,9,139711
11900,16,249449
11800,4,72690
10100,2,62248
10800,0,85822
11600,6,114978
14600,24,478127
14700,16,179736
14400,17,304910
14500,20,320247
14200,43,564824
14300,5,66192
14000,25,444874
14100,8,200100
14800,19,283720
Zip Code - 3 digits00,0,
12000,31,330854
12100,20,280446
12200,8,151022
10900,31,537311
12400,12,154261
12500,21,448672
12600,5,86794
12700,6,99295
12800,15,225336
12900,4,164172
10000,71,1502501
14900,5,49642
10600,9,81120
10700,11,227049
10400,103,1382480
10500,23,646012
13300,11,142936
11400,32,728928
11700,108,1565949
12300,7,162643
OOS00,54,
11100,12,204715
10300,19,468730
11000,8,246333
