id,count,population
00,9,
13500,99,71803
13400,245,187435
11500,1027,720600
13200,227,229807
13100,180,180039
13000,362,388436
13700,133,138362
13600,209,236059
11300,1487,1170817
11200,2933,2504700
13900,66,82318
13800,126,139711
11900,342,249449
11800,87,72690
10100,37,62248
10800,125,85822
11600,246,114978
14600,588,478127
14700,157,179736
14400,268,304910
14500,340,320247
14200,714,564824
14300,99,66192
14000,563,444874
14100,267,200100
14800,238,283720
Zip Code - 3 digits00,0,
12000,346,330854
12100,267,280446
12200,176,151022
10900,491,537311
12400,189,154261
12500,461,448672
12600,71,86794
12700,103,99295
12800,238,225336
12900,149,164172
10000,1633,1502501
14900,47,49642
10600,80,81120
10700,337,227049
10400,1775,1382480
10500,601,646012
13300,163,142936
11400,971,728928
11700,2003,1565949
12300,160,162643
OOS00,356,
11100,188,204715
10300,506,468730
11000,311,246333
