id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,1,720600
13200,0,229807
13100,0,180039
13000,2,388436
13700,1,138362
13600,0,236059
11300,7,1170817
11200,16,2504700
13900,1,82318
13800,0,139711
11900,1,249449
11800,0,72690
10100,0,62248
10800,2,85822
11600,0,114978
14600,5,478127
14700,0,179736
14400,0,304910
14500,2,320247
14200,0,564824
14300,0,66192
14000,1,444874
14100,0,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,0,330854
12100,1,280446
12200,1,151022
10900,0,537311
12400,1,154261
12500,1,448672
12600,0,86794
12700,0,99295
12800,1,225336
12900,0,164172
10000,7,1502501
14900,0,49642
10600,0,81120
10700,1,227049
10400,11,1382480
10500,1,646012
13300,0,142936
11400,1,728928
11700,3,1565949
12300,1,162643
OOS00,0,
11100,0,204715
10300,1,468730
11000,0,246333
