id,count,population
00,0,
13500,4,71803
13400,15,187435
11500,64,720600
13200,17,229807
13100,12,180039
13000,24,388436
13700,8,138362
13600,13,236059
11300,83,1170817
11200,310,2504700
13900,2,82318
13800,8,139711
11900,27,249449
11800,4,72690
10100,3,62248
10800,10,85822
11600,10,114978
14600,45,478127
14700,5,179736
14400,21,304910
14500,12,320247
14200,35,564824
14300,1,66192
14000,17,444874
14100,7,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,12,330854
12100,18,280446
12200,11,151022
10900,18,537311
12400,10,154261
12500,23,448672
12600,7,86794
12700,1,99295
12800,13,225336
12900,11,164172
10000,187,1502501
14900,3,49642
10600,13,81120
10700,38,227049
10400,291,1382480
10500,42,646012
13300,10,142936
11400,108,728928
11700,123,1565949
12300,8,162643
OOS00,22,
11100,19,204715
10300,45,468730
11000,22,246333
