id,count,population
00,1,
13500,1,71803
13400,7,187435
11500,30,720600
13200,5,229807
13100,8,180039
13000,14,388436
13700,3,138362
13600,8,236059
11300,36,1170817
11200,101,2504700
13900,0,82318
13800,4,139711
11900,11,249449
11800,5,72690
10100,0,62248
10800,4,85822
11600,8,114978
14600,20,478127
14700,6,179736
14400,14,304910
14500,13,320247
14200,26,564824
14300,2,66192
14000,10,444874
14100,2,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,9,330854
12100,13,280446
12200,1,151022
10900,17,537311
12400,5,154261
12500,19,448672
12600,5,86794
12700,7,99295
12800,5,225336
12900,2,164172
10000,58,1502501
14900,2,49642
10600,0,81120
10700,8,227049
10400,62,1382480
10500,31,646012
13300,4,142936
11400,26,728928
11700,57,1565949
12300,5,162643
OOS00,43,
11100,8,204715
10300,8,468730
11000,10,246333
