id,count,population
00,2,
13500,10,71803
13400,32,187435
11500,88,720600
13200,31,229807
13100,11,180039
13000,54,388436
13700,14,138362
13600,22,236059
11300,130,1170817
11200,260,2504700
13900,12,82318
13800,8,139711
11900,53,249449
11800,16,72690
10100,6,62248
10800,10,85822
11600,27,114978
14600,56,478127
14700,31,179736
14400,23,304910
14500,24,320247
14200,72,564824
14300,8,66192
14000,60,444874
14100,25,200100
14800,22,283720
Zip Code - 3 digits00,0,
12000,13,330854
12100,28,280446
12200,9,151022
10900,53,537311
12400,16,154261
12500,39,448672
12600,11,86794
12700,3,99295
12800,14,225336
12900,9,164172
10000,186,1502501
14900,4,49642
10600,2,81120
10700,30,227049
10400,211,1382480
10500,88,646012
13300,23,142936
11400,92,728928
11700,184,1565949
12300,13,162643
OOS00,343,
11100,20,204715
10300,55,468730
11000,35,246333
