id,count,population
00,3,
13500,18,71803
13400,68,187435
11500,214,720600
13200,81,229807
13100,36,180039
13000,113,388436
13700,26,138362
13600,50,236059
11300,236,1170817
11200,615,2504700
13900,12,82318
13800,26,139711
11900,88,249449
11800,11,72690
10100,7,62248
10800,27,85822
11600,20,114978
14600,126,478127
14700,29,179736
14400,45,304910
14500,65,320247
14200,110,564824
14300,20,66192
14000,64,444874
14100,46,200100
14800,56,283720
Zip Code - 3 digits00,0,
12000,111,330854
12100,95,280446
12200,73,151022
10900,111,537311
12400,54,154261
12500,104,448672
12600,23,86794
12700,13,99295
12800,68,225336
12900,12,164172
10000,318,1502501
14900,23,49642
10600,20,81120
10700,74,227049
10400,772,1382480
10500,128,646012
13300,27,142936
11400,173,728928
11700,437,1565949
12300,31,162643
OOS00,155,
11100,47,204715
10300,170,468730
11000,46,246333
