id,count,population
00,10,
13500,37,71803
13400,98,187435
11500,508,720600
13200,90,229807
13100,78,180039
13000,191,388436
13700,73,138362
13600,64,236059
11300,453,1170817
11200,768,2504700
13900,27,82318
13800,40,139711
11900,188,249449
11800,56,72690
10100,26,62248
10800,41,85822
11600,40,114978
14600,167,478127
14700,32,179736
14400,126,304910
14500,133,320247
14200,183,564824
14300,26,66192
14000,164,444874
14100,108,200100
14800,88,283720
Zip Code - 3 digits00,0,
12000,149,330854
12100,138,280446
12200,59,151022
10900,297,537311
12400,92,154261
12500,209,448672
12600,49,86794
12700,60,99295
12800,111,225336
12900,55,164172
10000,598,1502501
14900,19,49642
10600,58,81120
10700,134,227049
10400,450,1382480
10500,324,646012
13300,79,142936
11400,242,728928
11700,1078,1565949
12300,75,162643
OOS00,1115,
11100,67,204715
10300,259,468730
11000,180,246333
