id,count,population
00,0,
13500,22,71803
13400,39,187435
11500,71,720600
13200,25,229807
13100,16,180039
13000,47,388436
13700,9,138362
13600,7,236059
11300,130,1170817
11200,467,2504700
13900,11,82318
13800,5,139711
11900,38,249449
11800,10,72690
10100,2,62248
10800,6,85822
11600,19,114978
14600,32,478127
14700,19,179736
14400,11,304910
14500,15,320247
14200,86,564824
14300,6,66192
14000,35,444874
14100,22,200100
14800,16,283720
Zip Code - 3 digits00,0,
12000,34,330854
12100,26,280446
12200,15,151022
10900,59,537311
12400,25,154261
12500,39,448672
12600,10,86794
12700,13,99295
12800,18,225336
12900,19,164172
10000,148,1502501
14900,7,49642
10600,11,81120
10700,29,227049
10400,259,1382480
10500,51,646012
13300,16,142936
11400,103,728928
11700,205,1565949
12300,22,162643
OOS00,40,
11100,28,204715
10300,63,468730
11000,29,246333
