id,count,population
00,2,
13500,6,71803
13400,16,187435
11500,87,720600
13200,42,229807
13100,7,180039
13000,23,388436
13700,18,138362
13600,13,236059
11300,156,1170817
11200,476,2504700
13900,8,82318
13800,16,139711
11900,32,249449
11800,11,72690
10100,9,62248
10800,9,85822
11600,13,114978
14600,58,478127
14700,18,179736
14400,33,304910
14500,20,320247
14200,50,564824
14300,4,66192
14000,37,444874
14100,7,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,15,330854
12100,15,280446
12200,30,151022
10900,49,537311
12400,22,154261
12500,68,448672
12600,19,86794
12700,11,99295
12800,9,225336
12900,14,164172
10000,326,1502501
14900,4,49642
10600,12,81120
10700,68,227049
10400,556,1382480
10500,83,646012
13300,10,142936
11400,68,728928
11700,173,1565949
12300,7,162643
OOS00,69,
11100,39,204715
10300,121,468730
11000,30,246333
