id,count,population
00,5,
13500,79,71803
13400,223,187435
11500,698,720600
13200,245,229807
13100,174,180039
13000,383,388436
13700,166,138362
13600,185,236059
11300,951,1170817
11200,1343,2504700
13900,79,82318
13800,155,139711
11900,262,249449
11800,80,72690
10100,42,62248
10800,89,85822
11600,91,114978
14600,462,478127
14700,184,179736
14400,293,304910
14500,307,320247
14200,592,564824
14300,87,66192
14000,454,444874
14100,231,200100
14800,235,283720
Zip Code - 3 digits00,0,
12000,294,330854
12100,261,280446
12200,161,151022
10900,463,537311
12400,183,154261
12500,365,448672
12600,90,86794
12700,89,99295
12800,233,225336
12900,123,164172
10000,1121,1502501
14900,38,49642
10600,69,81120
10700,237,227049
10400,634,1382480
10500,543,646012
13300,151,142936
11400,301,728928
11700,1484,1565949
12300,163,162643
OOS00,386,
11100,144,204715
10300,369,468730
11000,285,246333
