id,count,population
00,1,
13500,7,71803
13400,8,187435
11500,112,720600
13200,52,229807
13100,4,180039
13000,9,388436
13700,8,138362
13600,6,236059
11300,155,1170817
11200,1060,2504700
13900,10,82318
13800,3,139711
11900,18,249449
11800,1,72690
10100,11,62248
10800,8,85822
11600,54,114978
14600,68,478127
14700,2,179736
14400,7,304910
14500,6,320247
14200,66,564824
14300,0,66192
14000,11,444874
14100,3,200100
14800,9,283720
Zip Code - 3 digits00,0,
12000,15,330854
12100,20,280446
12200,40,151022
10900,51,537311
12400,28,154261
12500,55,448672
12600,16,86794
12700,14,99295
12800,9,225336
12900,3,164172
10000,835,1502501
14900,4,49642
10600,5,81120
10700,20,227049
10400,1570,1382480
10500,40,646012
13300,6,142936
11400,243,728928
11700,96,1565949
12300,15,162643
OOS00,41,
11100,33,204715
10300,136,468730
11000,20,246333
