id,count,population
00,0,
13500,0,71803
13400,2,187435
11500,10,720600
13200,4,229807
13100,3,180039
13000,4,388436
13700,1,138362
13600,6,236059
11300,18,1170817
11200,49,2504700
13900,0,82318
13800,3,139711
11900,4,249449
11800,0,72690
10100,1,62248
10800,0,85822
11600,3,114978
14600,9,478127
14700,1,179736
14400,6,304910
14500,2,320247
14200,21,564824
14300,1,66192
14000,3,444874
14100,0,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,6,330854
12100,5,280446
12200,5,151022
10900,8,537311
12400,1,154261
12500,11,448672
12600,0,86794
12700,0,99295
12800,5,225336
12900,4,164172
10000,31,1502501
14900,0,49642
10600,8,81120
10700,7,227049
10400,33,1382480
10500,15,646012
13300,2,142936
11400,12,728928
11700,31,1565949
12300,1,162643
OOS00,39,
11100,4,204715
10300,9,468730
11000,5,246333
