id,count,population
00,5,
13500,83,71803
13400,120,187435
11500,535,720600
13200,157,229807
13100,64,180039
13000,157,388436
13700,55,138362
13600,142,236059
11300,542,1170817
11200,2225,2504700
13900,48,82318
13800,67,139711
11900,161,249449
11800,43,72690
10100,21,62248
10800,58,85822
11600,146,114978
14600,397,478127
14700,146,179736
14400,84,304910
14500,119,320247
14200,460,564824
14300,21,66192
14000,143,444874
14100,72,200100
14800,97,283720
Zip Code - 3 digits00,0,
12000,94,330854
12100,131,280446
12200,119,151022
10900,268,537311
12400,92,154261
12500,371,448672
12600,88,86794
12700,36,99295
12800,42,225336
12900,48,164172
10000,1248,1502501
14900,49,49642
10600,65,81120
10700,246,227049
10400,2115,1382480
10500,407,646012
13300,66,142936
11400,646,728928
11700,906,1565949
12300,80,162643
OOS00,211,
11100,162,204715
10300,333,468730
11000,111,246333
