id,count,population
00,3,
13500,19,71803
13400,32,187435
11500,302,720600
13200,56,229807
13100,35,180039
13000,78,388436
13700,32,138362
13600,33,236059
11300,534,1170817
11200,1373,2504700
13900,20,82318
13800,25,139711
11900,87,249449
11800,27,72690
10100,19,62248
10800,20,85822
11600,78,114978
14600,41,478127
14700,14,179736
14400,23,304910
14500,23,320247
14200,107,564824
14300,24,66192
14000,61,444874
14100,27,200100
14800,24,283720
Zip Code - 3 digits00,0,
12000,54,330854
12100,37,280446
12200,47,151022
10900,113,537311
12400,39,154261
12500,53,448672
12600,14,86794
12700,25,99295
12800,16,225336
12900,31,164172
10000,763,1502501
14900,16,49642
10600,35,81120
10700,101,227049
10400,1069,1382480
10500,97,646012
13300,32,142936
11400,394,728928
11700,427,1565949
12300,20,162643
OOS00,118,
11100,75,204715
10300,322,468730
11000,88,246333
