id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,5,720600
13200,0,229807
13100,1,180039
13000,2,388436
13700,0,138362
13600,1,236059
11300,9,1170817
11200,12,2504700
13900,1,82318
13800,2,139711
11900,2,249449
11800,1,72690
10100,10,62248
10800,0,85822
11600,0,114978
14600,0,478127
14700,2,179736
14400,0,304910
14500,1,320247
14200,5,564824
14300,0,66192
14000,5,444874
14100,0,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,1,280446
12200,0,151022
10900,3,537311
12400,0,154261
12500,5,448672
12600,0,86794
12700,1,99295
12800,1,225336
12900,0,164172
10000,15,1502501
14900,0,49642
10600,0,81120
10700,0,227049
10400,10,1382480
10500,3,646012
13300,0,142936
11400,2,728928
11700,10,1565949
12300,4,162643
OOS00,17,
11100,1,204715
10300,3,468730
11000,0,246333
