id,count,population
00,0,
13500,2,71803
13400,0,187435
11500,8,720600
13200,5,229807
13100,0,180039
13000,0,388436
13700,0,138362
13600,1,236059
11300,4,1170817
11200,26,2504700
13900,0,82318
13800,0,139711
11900,1,249449
11800,1,72690
10100,0,62248
10800,0,85822
11600,0,114978
14600,0,478127
14700,0,179736
14400,2,304910
14500,0,320247
14200,1,564824
14300,0,66192
14000,0,444874
14100,0,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,0,330854
12100,0,280446
12200,0,151022
10900,1,537311
12400,2,154261
12500,1,448672
12600,0,86794
12700,1,99295
12800,0,225336
12900,0,164172
10000,15,1502501
14900,0,49642
10600,0,81120
10700,0,227049
10400,18,1382480
10500,0,646012
13300,0,142936
11400,4,728928
11700,4,1565949
12300,0,162643
OOS00,1,
11100,1,204715
10300,3,468730
11000,1,246333
