id,count,population
00,0,
13500,30,71803
13400,22,187435
11500,15,720600
13200,7,229807
13100,16,180039
13000,11,388436
13700,1,138362
13600,19,236059
11300,45,1170817
11200,123,2504700
13900,0,82318
13800,5,139711
11900,2,249449
11800,0,72690
10100,1,62248
10800,3,85822
11600,9,114978
14600,25,478127
14700,105,179736
14400,6,304910
14500,21,320247
14200,10,564824
14300,8,66192
14000,31,444874
14100,14,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,12,330854
12100,18,280446
12200,0,151022
10900,50,537311
12400,12,154261
12500,25,448672
12600,1,86794
12700,10,99295
12800,10,225336
12900,9,164172
10000,67,1502501
14900,2,49642
10600,6,81120
10700,27,227049
10400,136,1382480
10500,56,646012
13300,17,142936
11400,79,728928
11700,28,1565949
12300,33,162643
OOS00,3,
11100,17,204715
10300,53,468730
11000,12,246333
