id,count,population
00,0,
13500,2,71803
13400,0,187435
11500,23,720600
13200,4,229807
13100,6,180039
13000,5,388436
13700,1,138362
13600,8,236059
11300,62,1170817
11200,156,2504700
13900,0,82318
13800,2,139711
11900,11,249449
11800,0,72690
10100,0,62248
10800,3,85822
11600,9,114978
14600,12,478127
14700,2,179736
14400,1,304910
14500,4,320247
14200,14,564824
14300,2,66192
14000,4,444874
14100,2,200100
14800,5,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,4,280446
12200,4,151022
10900,15,537311
12400,5,154261
12500,5,448672
12600,3,86794
12700,1,99295
12800,2,225336
12900,0,164172
10000,61,1502501
14900,0,49642
10600,6,81120
10700,8,227049
10400,98,1382480
10500,18,646012
13300,4,142936
11400,63,728928
11700,54,1565949
12300,0,162643
OOS00,14,
11100,9,204715
10300,14,468730
11000,9,246333
