id,count,population
00,2,
13500,18,71803
13400,29,187435
11500,170,720600
13200,52,229807
13100,37,180039
13000,89,388436
13700,33,138362
13600,53,236059
11300,223,1170817
11200,619,2504700
13900,10,82318
13800,21,139711
11900,77,249449
11800,26,72690
10100,6,62248
10800,14,85822
11600,26,114978
14600,126,478127
14700,26,179736
14400,60,304910
14500,56,320247
14200,111,564824
14300,17,66192
14000,78,444874
14100,49,200100
14800,58,283720
Zip Code - 3 digits00,0,
12000,53,330854
12100,55,280446
12200,37,151022
10900,115,537311
12400,30,154261
12500,95,448672
12600,14,86794
12700,11,99295
12800,48,225336
12900,43,164172
10000,345,1502501
14900,11,49642
10600,14,81120
10700,80,227049
10400,380,1382480
10500,79,646012
13300,38,142936
11400,171,728928
11700,371,1565949
12300,25,162643
OOS00,99,
11100,23,204715
10300,94,468730
11000,46,246333
