id,count,population
00,1,
13500,40,71803
13400,56,187435
11500,106,720600
13200,77,229807
13100,30,180039
13000,74,388436
13700,30,138362
13600,34,236059
11300,87,1170817
11200,163,2504700
13900,12,82318
13800,20,139711
11900,31,249449
11800,11,72690
10100,8,62248
10800,6,85822
11600,6,114978
14600,99,478127
14700,14,179736
14400,53,304910
14500,49,320247
14200,26,564824
14300,5,66192
14000,14,444874
14100,10,200100
14800,50,283720
Zip Code - 3 digits00,0,
12000,28,330854
12100,33,280446
12200,9,151022
10900,29,537311
12400,25,154261
12500,44,448672
12600,7,86794
12700,3,99295
12800,44,225336
12900,17,164172
10000,134,1502501
14900,14,49642
10600,6,81120
10700,22,227049
10400,216,1382480
10500,55,646012
13300,41,142936
11400,75,728928
11700,179,1565949
12300,6,162643
OOS00,44,
11100,6,204715
10300,43,468730
11000,30,246333
