id,count,population
00,3,
13500,85,71803
13400,222,187435
11500,664,720600
13200,290,229807
13100,149,180039
13000,443,388436
13700,123,138362
13600,219,236059
11300,658,1170817
11200,1822,2504700
13900,65,82318
13800,110,139711
11900,248,249449
11800,53,72690
10100,36,62248
10800,80,85822
11600,119,114978
14600,495,478127
14700,130,179736
14400,249,304910
14500,256,320247
14200,442,564824
14300,38,66192
14000,286,444874
14100,153,200100
14800,227,283720
Zip Code - 3 digits00,0,
12000,250,330854
12100,243,280446
12200,122,151022
10900,388,537311
12400,87,154261
12500,273,448672
12600,68,86794
12700,38,99295
12800,166,225336
12900,107,164172
10000,1181,1502501
14900,62,49642
10600,87,81120
10700,234,227049
10400,1464,1382480
10500,506,646012
13300,159,142936
11400,408,728928
11700,1502,1565949
12300,120,162643
OOS00,324,
11100,129,204715
10300,437,468730
11000,201,246333
