id,count,population
00,12,
13500,100,71803
13400,277,187435
11500,777,720600
13200,269,229807
13100,191,180039
13000,397,388436
13700,154,138362
13600,299,236059
11300,942,1170817
11200,2084,2504700
13900,110,82318
13800,129,139711
11900,285,249449
11800,54,72690
10100,49,62248
10800,76,85822
11600,106,114978
14600,568,478127
14700,238,179736
14400,286,304910
14500,363,320247
14200,661,564824
14300,117,66192
14000,461,444874
14100,264,200100
14800,280,283720
Zip Code - 3 digits00,0,
12000,348,330854
12100,307,280446
12200,220,151022
10900,516,537311
12400,217,154261
12500,473,448672
12600,87,86794
12700,126,99295
12800,254,225336
12900,250,164172
10000,1214,1502501
14900,83,49642
10600,88,81120
10700,260,227049
10400,1241,1382480
10500,628,646012
13300,182,142936
11400,605,728928
11700,1722,1565949
12300,180,162643
OOS00,574,
11100,142,204715
10300,433,468730
11000,238,246333
