id,count,population
00,10,
13500,58,71803
13400,106,187435
11500,694,720600
13200,165,229807
13100,78,180039
13000,185,388436
13700,96,138362
13600,86,236059
11300,712,1170817
11200,1390,2504700
13900,61,82318
13800,64,139711
11900,212,249449
11800,79,72690
10100,39,62248
10800,63,85822
11600,74,114978
14600,256,478127
14700,79,179736
14400,113,304910
14500,149,320247
14200,411,564824
14300,67,66192
14000,284,444874
14100,118,200100
14800,97,283720
Zip Code - 3 digits00,0,
12000,161,330854
12100,127,280446
12200,91,151022
10900,305,537311
12400,125,154261
12500,437,448672
12600,131,86794
12700,55,99295
12800,126,225336
12900,27,164172
10000,1001,1502501
14900,25,49642
10600,59,81120
10700,173,227049
10400,939,1382480
10500,370,646012
13300,87,142936
11400,518,728928
11700,1164,1565949
12300,73,162643
OOS00,527,
11100,107,204715
10300,474,468730
11000,199,246333
