id,count,population
00,2,
13500,2,71803
13400,17,187435
11500,117,720600
13200,21,229807
13100,13,180039
13000,36,388436
13700,8,138362
13600,13,236059
11300,127,1170817
11200,225,2504700
13900,8,82318
13800,12,139711
11900,41,249449
11800,8,72690
10100,4,62248
10800,13,85822
11600,14,114978
14600,36,478127
14700,11,179736
14400,28,304910
14500,25,320247
14200,77,564824
14300,12,66192
14000,62,444874
14100,26,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,30,330854
12100,25,280446
12200,10,151022
10900,34,537311
12400,20,154261
12500,46,448672
12600,5,86794
12700,8,99295
12800,26,225336
12900,4,164172
10000,161,1502501
14900,6,49642
10600,9,81120
10700,34,227049
10400,201,1382480
10500,67,646012
13300,9,142936
11400,100,728928
11700,202,1565949
12300,10,162643
OOS00,152,
11100,24,204715
10300,50,468730
11000,40,246333
