id,count,population
00,3,
13500,14,71803
13400,38,187435
11500,137,720600
13200,34,229807
13100,29,180039
13000,72,388436
13700,32,138362
13600,20,236059
11300,169,1170817
11200,311,2504700
13900,17,82318
13800,28,139711
11900,64,249449
11800,23,72690
10100,9,62248
10800,10,85822
11600,15,114978
14600,61,478127
14700,26,179736
14400,43,304910
14500,44,320247
14200,97,564824
14300,11,66192
14000,96,444874
14100,31,200100
14800,24,283720
Zip Code - 3 digits00,0,
12000,50,330854
12100,47,280446
12200,20,151022
10900,97,537311
12400,32,154261
12500,73,448672
12600,10,86794
12700,27,99295
12800,26,225336
12900,15,164172
10000,202,1502501
14900,8,49642
10600,14,81120
10700,34,227049
10400,207,1382480
10500,98,646012
13300,30,142936
11400,87,728928
11700,336,1565949
12300,27,162643
OOS00,319,
11100,25,204715
10300,91,468730
11000,36,246333
