id,count,population
00,0,
13500,4,71803
13400,16,187435
11500,43,720600
13200,17,229807
13100,5,180039
13000,10,388436
13700,3,138362
13600,7,236059
11300,35,1170817
11200,186,2504700
13900,4,82318
13800,3,139711
11900,16,249449
11800,3,72690
10100,2,62248
10800,6,85822
11600,9,114978
14600,52,478127
14700,13,179736
14400,17,304910
14500,13,320247
14200,32,564824
14300,3,66192
14000,22,444874
14100,8,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,17,330854
12100,13,280446
12200,14,151022
10900,35,537311
12400,14,154261
12500,22,448672
12600,6,86794
12700,4,99295
12800,15,225336
12900,4,164172
10000,134,1502501
14900,1,49642
10600,7,81120
10700,24,227049
10400,152,1382480
10500,45,646012
13300,8,142936
11400,56,728928
11700,52,1565949
12300,15,162643
OOS00,26,
11100,7,204715
10300,39,468730
11000,13,246333
