id,count,population
00,3,
13500,59,71803
13400,148,187435
11500,480,720600
13200,189,229807
13100,162,180039
13000,285,388436
13700,98,138362
13600,175,236059
11300,696,1170817
11200,1567,2504700
13900,65,82318
13800,102,139711
11900,236,249449
11800,53,72690
10100,40,62248
10800,62,85822
11600,90,114978
14600,366,478127
14700,102,179736
14400,252,304910
14500,254,320247
14200,424,564824
14300,76,66192
14000,291,444874
14100,143,200100
14800,168,283720
Zip Code - 3 digits00,0,
12000,248,330854
12100,185,280446
12200,112,151022
10900,321,537311
12400,145,154261
12500,315,448672
12600,57,86794
12700,89,99295
12800,158,225336
12900,89,164172
10000,974,1502501
14900,43,49642
10600,53,81120
10700,154,227049
10400,963,1382480
10500,370,646012
13300,114,142936
11400,457,728928
11700,1261,1565949
12300,101,162643
OOS00,502,
11100,121,204715
10300,319,468730
11000,164,246333
