id,count,population
00,0,
13500,8,71803
13400,20,187435
11500,124,720600
13200,38,229807
13100,26,180039
13000,39,388436
13700,18,138362
13600,33,236059
11300,166,1170817
11200,348,2504700
13900,7,82318
13800,17,139711
11900,37,249449
11800,5,72690
10100,12,62248
10800,14,85822
11600,19,114978
14600,46,478127
14700,24,179736
14400,30,304910
14500,25,320247
14200,111,564824
14300,4,66192
14000,78,444874
14100,56,200100
14800,28,283720
Zip Code - 3 digits00,0,
12000,35,330854
12100,28,280446
12200,23,151022
10900,94,537311
12400,16,154261
12500,71,448672
12600,8,86794
12700,10,99295
12800,25,225336
12900,11,164172
10000,239,1502501
14900,6,49642
10600,16,81120
10700,35,227049
10400,195,1382480
10500,127,646012
13300,16,142936
11400,79,728928
11700,207,1565949
12300,17,162643
OOS00,205,
11100,29,204715
10300,81,468730
11000,37,246333
