id,count,population
00,436,
13500,1062,71803
13400,1852,187435
11500,7977,720600
13200,3059,229807
13100,1692,180039
13000,3843,388436
13700,1369,138362
13600,3280,236059
11300,16273,1170817
11200,41419,2504700
13900,817,82318
13800,1249,139711
11900,2558,249449
11800,704,72690
10100,785,62248
10800,799,85822
11600,1549,114978
14600,5786,478127
14700,1687,179736
14400,2682,304910
14500,2872,320247
14200,6894,564824
14300,783,66192
14000,3796,444874
14100,1775,200100
14800,2541,283720
Zip Code - 3 digits00,0,
12000,2896,330854
12100,2601,280446
12200,1714,151022
10900,7346,537311
12400,1310,154261
12500,3838,448672
12600,974,86794
12700,1151,99295
12800,2020,225336
12900,1379,164172
10000,18104,1502501
14900,654,49642
10600,877,81120
10700,2807,227049
10400,20853,1382480
10500,5386,646012
13300,1303,142936
11400,9317,728928
11700,15857,1565949
12300,1948,162643
OOS00,4401,
11100,2488,204715
10300,3505,468730
11000,2370,246333
