id,count,population
00,1,
13500,7,71803
13400,9,187435
11500,55,720600
13200,29,229807
13100,21,180039
13000,25,388436
13700,3,138362
13600,7,236059
11300,208,1170817
11200,357,2504700
13900,6,82318
13800,10,139711
11900,31,249449
11800,9,72690
10100,3,62248
10800,15,85822
11600,15,114978
14600,39,478127
14700,9,179736
14400,12,304910
14500,10,320247
14200,32,564824
14300,11,66192
14000,28,444874
14100,11,200100
14800,6,283720
Zip Code - 3 digits00,0,
12000,17,330854
12100,26,280446
12200,26,151022
10900,35,537311
12400,13,154261
12500,40,448672
12600,10,86794
12700,11,99295
12800,19,225336
12900,3,164172
10000,245,1502501
14900,2,49642
10600,12,81120
10700,25,227049
10400,263,1382480
10500,55,646012
13300,5,142936
11400,87,728928
11700,135,1565949
12300,13,162643
OOS00,171,
11100,31,204715
10300,72,468730
11000,24,246333
