id,count,population
00,0,
13500,0,71803
13400,9,187435
11500,26,720600
13200,7,229807
13100,3,180039
13000,5,388436
13700,4,138362
13600,8,236059
11300,23,1170817
11200,50,2504700
13900,2,82318
13800,2,139711
11900,5,249449
11800,1,72690
10100,1,62248
10800,1,85822
11600,2,114978
14600,14,478127
14700,3,179736
14400,11,304910
14500,4,320247
14200,12,564824
14300,1,66192
14000,6,444874
14100,5,200100
14800,12,283720
Zip Code - 3 digits00,0,
12000,8,330854
12100,5,280446
12200,0,151022
10900,14,537311
12400,6,154261
12500,6,448672
12600,1,86794
12700,1,99295
12800,2,225336
12900,4,164172
10000,38,1502501
14900,1,49642
10600,0,81120
10700,2,227049
10400,35,1382480
10500,16,646012
13300,5,142936
11400,15,728928
11700,37,1565949
12300,3,162643
OOS00,13,
11100,3,204715
10300,5,468730
11000,6,246333
