id,count,population
00,0,
13500,4,71803
13400,7,187435
11500,92,720600
13200,20,229807
13100,5,180039
13000,12,388436
13700,2,138362
13600,5,236059
11300,99,1170817
11200,298,2504700
13900,1,82318
13800,1,139711
11900,18,249449
11800,8,72690
10100,2,62248
10800,5,85822
11600,13,114978
14600,32,478127
14700,4,179736
14400,3,304910
14500,7,320247
14200,32,564824
14300,4,66192
14000,13,444874
14100,8,200100
14800,7,283720
Zip Code - 3 digits00,0,
12000,5,330854
12100,9,280446
12200,15,151022
10900,29,537311
12400,6,154261
12500,18,448672
12600,4,86794
12700,5,99295
12800,3,225336
12900,2,164172
10000,158,1502501
14900,3,49642
10600,9,81120
10700,25,227049
10400,239,1382480
10500,57,646012
13300,5,142936
11400,129,728928
11700,108,1565949
12300,11,162643
OOS00,41,
11100,14,204715
10300,46,468730
11000,15,246333
