id,count,population
00,0,
13500,6,71803
13400,8,187435
11500,45,720600
13200,13,229807
13100,7,180039
13000,19,388436
13700,3,138362
13600,14,236059
11300,85,1170817
11200,228,2504700
13900,2,82318
13800,3,139711
11900,12,249449
11800,3,72690
10100,1,62248
10800,2,85822
11600,10,114978
14600,11,478127
14700,4,179736
14400,9,304910
14500,5,320247
14200,32,564824
14300,2,66192
14000,15,444874
14100,4,200100
14800,11,283720
Zip Code - 3 digits00,0,
12000,15,330854
12100,11,280446
12200,9,151022
10900,23,537311
12400,8,154261
12500,21,448672
12600,2,86794
12700,1,99295
12800,12,225336
12900,5,164172
10000,95,1502501
14900,5,49642
10600,6,81120
10700,14,227049
10400,129,1382480
10500,20,646012
13300,7,142936
11400,50,728928
11700,87,1565949
12300,7,162643
OOS00,27,
11100,13,204715
10300,35,468730
11000,14,246333
