id,count,population
00,24,
13500,31,71803
13400,66,187435
11500,275,720600
13200,100,229807
13100,73,180039
13000,132,388436
13700,62,138362
13600,150,236059
11300,540,1170817
11200,1322,2504700
13900,30,82318
13800,60,139711
11900,115,249449
11800,33,72690
10100,42,62248
10800,39,85822
11600,50,114978
14600,199,478127
14700,66,179736
14400,114,304910
14500,105,320247
14200,241,564824
14300,22,66192
14000,228,444874
14100,121,200100
14800,128,283720
Zip Code - 3 digits00,0,
12000,104,330854
12100,118,280446
12200,66,151022
10900,288,537311
12400,59,154261
12500,161,448672
12600,37,86794
12700,33,99295
12800,82,225336
12900,84,164172
10000,652,1502501
14900,30,49642
10600,39,81120
10700,118,227049
10400,592,1382480
10500,301,646012
13300,40,142936
11400,257,728928
11700,712,1565949
12300,62,162643
OOS00,181,
11100,97,204715
10300,166,468730
11000,74,246333
