id,count,population
00,0,
13500,0,71803
13400,0,187435
11500,2,720600
13200,0,229807
13100,0,180039
13000,0,388436
13700,0,138362
13600,0,236059
11300,5,1170817
11200,15,2504700
13900,1,82318
13800,0,139711
11900,0,249449
11800,0,72690
10100,0,62248
10800,1,85822
11600,0,114978
14600,2,478127
14700,1,179736
14400,2,304910
14500,1,320247
14200,3,564824
14300,1,66192
14000,2,444874
14100,1,200100
14800,0,283720
Zip Code - 3 digits00,0,
12000,1,330854
12100,0,280446
12200,0,151022
10900,0,537311
12400,0,154261
12500,5,448672
12600,0,86794
12700,1,99295
12800,0,225336
12900,1,164172
10000,5,1502501
14900,0,49642
10600,0,81120
10700,1,227049
10400,11,1382480
10500,1,646012
13300,0,142936
11400,6,728928
11700,5,1565949
12300,1,162643
OOS00,3,
11100,2,204715
10300,1,468730
11000,0,246333
