id,count,population
00,1,
13500,6,71803
13400,16,187435
11500,56,720600
13200,22,229807
13100,10,180039
13000,28,388436
13700,15,138362
13600,20,236059
11300,111,1170817
11200,286,2504700
13900,6,82318
13800,4,139711
11900,21,249449
11800,3,72690
10100,0,62248
10800,10,85822
11600,10,114978
14600,32,478127
14700,7,179736
14400,20,304910
14500,23,320247
14200,35,564824
14300,6,66192
14000,26,444874
14100,8,200100
14800,14,283720
Zip Code - 3 digits00,0,
12000,21,330854
12100,15,280446
12200,17,151022
10900,36,537311
12400,13,154261
12500,34,448672
12600,8,86794
12700,7,99295
12800,17,225336
12900,7,164172
10000,151,1502501
14900,5,49642
10600,3,81120
10700,26,227049
10400,189,1382480
10500,45,646012
13300,8,142936
11400,79,728928
11700,139,1565949
12300,7,162643
OOS00,33,
11100,23,204715
10300,55,468730
11000,19,246333
