id,count,population
00,1,
13500,7,71803
13400,9,187435
11500,21,720600
13200,9,229807
13100,5,180039
13000,13,388436
13700,5,138362
13600,5,236059
11300,31,1170817
11200,76,2504700
13900,1,82318
13800,2,139711
11900,13,249449
11800,3,72690
10100,3,62248
10800,4,85822
11600,3,114978
14600,17,478127
14700,7,179736
14400,4,304910
14500,13,320247
14200,18,564824
14300,1,66192
14000,28,444874
14100,6,200100
14800,4,283720
Zip Code - 3 digits00,0,
12000,5,330854
12100,9,280446
12200,5,151022
10900,13,537311
12400,8,154261
12500,18,448672
12600,2,86794
12700,4,99295
12800,9,225336
12900,3,164172
10000,55,1502501
14900,0,49642
10600,1,81120
10700,14,227049
10400,44,1382480
10500,22,646012
13300,6,142936
11400,18,728928
11700,43,1565949
12300,4,162643
OOS00,51,
11100,4,204715
10300,14,468730
11000,3,246333
