id,count,population
00,1,
13500,0,71803
13400,0,187435
11500,4,720600
13200,0,229807
13100,1,180039
13000,0,388436
13700,1,138362
13600,0,236059
11300,13,1170817
11200,51,2504700
13900,0,82318
13800,1,139711
11900,1,249449
11800,1,72690
10100,0,62248
10800,0,85822
11600,1,114978
14600,5,478127
14700,1,179736
14400,4,304910
14500,1,320247
14200,2,564824
14300,3,66192
14000,3,444874
14100,1,200100
14800,1,283720
Zip Code - 3 digits00,0,
12000,0,330854
12100,0,280446
12200,0,151022
10900,7,537311
12400,0,154261
12500,2,448672
12600,0,86794
12700,3,99295
12800,1,225336
12900,1,164172
10000,87,1502501
14900,0,49642
10600,2,81120
10700,0,227049
10400,78,1382480
10500,4,646012
13300,0,142936
11400,15,728928
11700,4,1565949
12300,0,162643
OOS00,31,
11100,6,204715
10300,2,468730
11000,1,246333
