id,count,population
00,0,
13500,1,71803
13400,2,187435
11500,11,720600
13200,4,229807
13100,2,180039
13000,7,388436
13700,5,138362
13600,7,236059
11300,18,1170817
11200,54,2504700
13900,2,82318
13800,1,139711
11900,4,249449
11800,1,72690
10100,0,62248
10800,1,85822
11600,7,114978
14600,21,478127
14700,4,179736
14400,16,304910
14500,5,320247
14200,16,564824
14300,4,66192
14000,13,444874
14100,3,200100
14800,3,283720
Zip Code - 3 digits00,0,
12000,4,330854
12100,5,280446
12200,4,151022
10900,6,537311
12400,3,154261
12500,6,448672
12600,0,86794
12700,0,99295
12800,2,225336
12900,3,164172
10000,21,1502501
14900,3,49642
10600,2,81120
10700,9,227049
10400,37,1382480
10500,5,646012
13300,3,142936
11400,12,728928
11700,23,1565949
12300,1,162643
OOS00,4,
11100,9,204715
10300,8,468730
11000,2,246333
