id,count,population
00,0,
13500,13,71803
13400,33,187435
11500,57,720600
13200,26,229807
13100,33,180039
13000,56,388436
13700,29,138362
13600,99,236059
11300,67,1170817
11200,141,2504700
13900,10,82318
13800,28,139711
11900,28,249449
11800,6,72690
10100,0,62248
10800,4,85822
11600,11,114978
14600,178,478127
14700,42,179736
14400,76,304910
14500,106,320247
14200,108,564824
14300,16,66192
14000,91,444874
14100,55,200100
14800,71,283720
Zip Code - 3 digits00,0,
12000,18,330854
12100,21,280446
12200,17,151022
10900,36,537311
12400,10,154261
12500,39,448672
12600,16,86794
12700,12,99295
12800,13,225336
12900,29,164172
10000,66,1502501
14900,6,49642
10600,4,81120
10700,17,227049
10400,136,1382480
10500,34,646012
13300,13,142936
11400,66,728928
11700,196,1565949
12300,8,162643
OOS00,30,
11100,5,204715
10300,27,468730
11000,18,246333
