id,count,population
00,27,
13500,479,71803
13400,568,187435
11500,2284,720600
13200,884,229807
13100,599,180039
13000,1194,388436
13700,357,138362
13600,1481,236059
11300,2231,1170817
11200,6884,2504700
13900,319,82318
13800,340,139711
11900,695,249449
11800,161,72690
10100,168,62248
10800,269,85822
11600,398,114978
14600,1554,478127
14700,770,179736
14400,800,304910
14500,775,320247
14200,1815,564824
14300,634,66192
14000,1091,444874
14100,558,200100
14800,1109,283720
Zip Code - 3 digits00,0,
12000,928,330854
12100,905,280446
12200,419,151022
10900,1401,537311
12400,760,154261
12500,1206,448672
12600,409,86794
12700,433,99295
12800,943,225336
12900,759,164172
10000,5777,1502501
14900,296,49642
10600,325,81120
10700,941,227049
10400,4743,1382480
10500,2129,646012
13300,474,142936
11400,1761,728928
11700,4214,1565949
12300,1011,162643
OOS00,1591,
11100,448,204715
10300,1632,468730
11000,583,246333
