id,count,population
00,0,
13500,4,71803
13400,9,187435
11500,49,720600
13200,20,229807
13100,8,180039
13000,17,388436
13700,5,138362
13600,14,236059
11300,75,1170817
11200,237,2504700
13900,5,82318
13800,7,139711
11900,15,249449
11800,2,72690
10100,2,62248
10800,7,85822
11600,12,114978
14600,21,478127
14700,6,179736
14400,12,304910
14500,14,320247
14200,49,564824
14300,5,66192
14000,20,444874
14100,7,200100
14800,13,283720
Zip Code - 3 digits00,0,
12000,21,330854
12100,22,280446
12200,14,151022
10900,40,537311
12400,10,154261
12500,23,448672
12600,5,86794
12700,3,99295
12800,10,225336
12900,9,164172
10000,101,1502501
14900,3,49642
10600,4,81120
10700,22,227049
10400,161,1382480
10500,31,646012
13300,6,142936
11400,47,728928
11700,105,1565949
12300,3,162643
OOS00,32,
11100,12,204715
10300,40,468730
11000,6,246333
