id,count,population
00,0,
13500,2,71803
13400,16,187435
11500,63,720600
13200,19,229807
13100,6,180039
13000,33,388436
13700,12,138362
13600,11,236059
11300,78,1170817
11200,215,2504700
13900,1,82318
13800,8,139711
11900,26,249449
11800,5,72690
10100,1,62248
10800,2,85822
11600,14,114978
14600,26,478127
14700,3,179736
14400,13,304910
14500,26,320247
14200,45,564824
14300,2,66192
14000,23,444874
14100,18,200100
14800,10,283720
Zip Code - 3 digits00,0,
12000,15,330854
12100,19,280446
12200,8,151022
10900,36,537311
12400,7,154261
12500,24,448672
12600,4,86794
12700,3,99295
12800,11,225336
12900,6,164172
10000,131,1502501
14900,3,49642
10600,4,81120
10700,24,227049
10400,166,1382480
10500,50,646012
13300,4,142936
11400,87,728928
11700,111,1565949
12300,9,162643
OOS00,75,
11100,9,204715
10300,34,468730
11000,32,246333
