id,count,population
00,0,
13500,9,71803
13400,16,187435
11500,67,720600
13200,36,229807
13100,16,180039
13000,26,388436
13700,10,138362
13600,14,236059
11300,98,1170817
11200,297,2504700
13900,2,82318
13800,6,139711
11900,25,249449
11800,5,72690
10100,1,62248
10800,7,85822
11600,13,114978
14600,68,478127
14700,23,179736
14400,11,304910
14500,32,320247
14200,60,564824
14300,7,66192
14000,26,444874
14100,12,200100
14800,19,283720
Zip Code - 3 digits00,0,
12000,22,330854
12100,29,280446
12200,12,151022
10900,53,537311
12400,22,154261
12500,45,448672
12600,7,86794
12700,8,99295
12800,11,225336
12900,5,164172
10000,147,1502501
14900,5,49642
10600,5,81120
10700,26,227049
10400,211,1382480
10500,57,646012
13300,14,142936
11400,99,728928
11700,164,1565949
12300,18,162643
OOS00,46,
11100,22,204715
10300,91,468730
11000,34,246333
