id,count,population
00,0,
13500,14,71803
13400,9,187435
11500,73,720600
13200,19,229807
13100,11,180039
13000,17,388436
13700,7,138362
13600,10,236059
11300,72,1170817
11200,228,2504700
13900,3,82318
13800,4,139711
11900,23,249449
11800,4,72690
10100,0,62248
10800,4,85822
11600,9,114978
14600,31,478127
14700,7,179736
14400,15,304910
14500,20,320247
14200,32,564824
14300,4,66192
14000,21,444874
14100,9,200100
14800,18,283720
Zip Code - 3 digits00,0,
12000,23,330854
12100,11,280446
12200,9,151022
10900,50,537311
12400,11,154261
12500,17,448672
12600,8,86794
12700,6,99295
12800,10,225336
12900,6,164172
10000,95,1502501
14900,7,49642
10600,5,81120
10700,27,227049
10400,135,1382480
10500,35,646012
13300,7,142936
11400,42,728928
11700,104,1565949
12300,7,162643
OOS00,43,
11100,15,204715
10300,30,468730
11000,16,246333
