id,count,population
00,0,
13500,17,71803
13400,22,187435
11500,63,720600
13200,33,229807
13100,18,180039
13000,57,388436
13700,12,138362
13600,38,236059
11300,90,1170817
11200,221,2504700
13900,12,82318
13800,15,139711
11900,27,249449
11800,8,72690
10100,6,62248
10800,14,85822
11600,11,114978
14600,60,478127
14700,13,179736
14400,32,304910
14500,27,320247
14200,58,564824
14300,8,66192
14000,43,444874
14100,21,200100
14800,26,283720
Zip Code - 3 digits00,0,
12000,38,330854
12100,36,280446
12200,23,151022
10900,51,537311
12400,40,154261
12500,53,448672
12600,9,86794
12700,12,99295
12800,31,225336
12900,22,164172
10000,175,1502501
14900,9,49642
10600,8,81120
10700,42,227049
10400,224,1382480
10500,78,646012
13300,18,142936
11400,62,728928
11700,133,1565949
12300,23,162643
OOS00,85,
11100,18,204715
10300,48,468730
11000,24,246333
