id,count,population
00,1,
13500,3,71803
13400,3,187435
11500,30,720600
13200,12,229807
13100,5,180039
13000,8,388436
13700,0,138362
13600,3,236059
11300,37,1170817
11200,92,2504700
13900,2,82318
13800,4,139711
11900,16,249449
11800,3,72690
10100,0,62248
10800,1,85822
11600,5,114978
14600,13,478127
14700,3,179736
14400,11,304910
14500,10,320247
14200,36,564824
14300,0,66192
14000,9,444874
14100,4,200100
14800,20,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,6,280446
12200,3,151022
10900,10,537311
12400,4,154261
12500,9,448672
12600,2,86794
12700,4,99295
12800,15,225336
12900,0,164172
10000,50,1502501
14900,1,49642
10600,2,81120
10700,4,227049
10400,88,1382480
10500,14,646012
13300,2,142936
11400,47,728928
11700,65,1565949
12300,7,162643
OOS00,16,
11100,7,204715
10300,15,468730
11000,5,246333
