id,count,population
00,1,
13500,2,71803
13400,3,187435
11500,23,720600
13200,6,229807
13100,7,180039
13000,15,388436
13700,6,138362
13600,6,236059
11300,24,1170817
11200,42,2504700
13900,0,82318
13800,1,139711
11900,4,249449
11800,4,72690
10100,1,62248
10800,0,85822
11600,2,114978
14600,6,478127
14700,5,179736
14400,6,304910
14500,4,320247
14200,24,564824
14300,2,66192
14000,11,444874
14100,6,200100
14800,9,283720
Zip Code - 3 digits00,0,
12000,7,330854
12100,2,280446
12200,2,151022
10900,9,537311
12400,4,154261
12500,12,448672
12600,1,86794
12700,3,99295
12800,5,225336
12900,3,164172
10000,19,1502501
14900,2,49642
10600,1,81120
10700,5,227049
10400,42,1382480
10500,12,646012
13300,2,142936
11400,18,728928
11700,25,1565949
12300,2,162643
OOS00,43,
11100,3,204715
10300,8,468730
11000,4,246333
