id,count,population
00,0,
13500,0,71803
13400,5,187435
11500,21,720600
13200,7,229807
13100,4,180039
13000,5,388436
13700,2,138362
13600,2,236059
11300,30,1170817
11200,57,2504700
13900,1,82318
13800,3,139711
11900,6,249449
11800,0,72690
10100,4,62248
10800,3,85822
11600,5,114978
14600,11,478127
14700,4,179736
14400,3,304910
14500,2,320247
14200,13,564824
14300,1,66192
14000,7,444874
14100,3,200100
14800,4,283720
Zip Code - 3 digits00,0,
12000,3,330854
12100,4,280446
12200,8,151022
10900,10,537311
12400,5,154261
12500,3,448672
12600,2,86794
12700,1,99295
12800,7,225336
12900,2,164172
10000,36,1502501
14900,0,49642
10600,1,81120
10700,8,227049
10400,36,1382480
10500,22,646012
13300,4,142936
11400,8,728928
11700,42,1565949
12300,1,162643
OOS00,53,
11100,5,204715
10300,23,468730
11000,12,246333
