id,count,population
00,0,
13500,10,71803
13400,29,187435
11500,112,720600
13200,48,229807
13100,29,180039
13000,57,388436
13700,10,138362
13600,26,236059
11300,209,1170817
11200,388,2504700
13900,3,82318
13800,17,139711
11900,47,249449
11800,14,72690
10100,10,62248
10800,8,85822
11600,12,114978
14600,45,478127
14700,24,179736
14400,27,304910
14500,37,320247
14200,60,564824
14300,10,66192
14000,77,444874
14100,26,200100
14800,31,283720
Zip Code - 3 digits00,0,
12000,38,330854
12100,46,280446
12200,22,151022
10900,85,537311
12400,32,154261
12500,77,448672
12600,12,86794
12700,12,99295
12800,34,225336
12900,18,164172
10000,234,1502501
14900,2,49642
10600,20,81120
10700,34,227049
10400,238,1382480
10500,94,646012
13300,20,142936
11400,86,728928
11700,243,1565949
12300,16,162643
OOS00,160,
11100,26,204715
10300,68,468730
11000,50,246333
