id,count,population
00,0,
13500,1,71803
13400,7,187435
11500,69,720600
13200,20,229807
13100,11,180039
13000,16,388436
13700,5,138362
13600,14,236059
11300,68,1170817
11200,245,2504700
13900,3,82318
13800,9,139711
11900,33,249449
11800,9,72690
10100,3,62248
10800,5,85822
11600,23,114978
14600,30,478127
14700,9,179736
14400,11,304910
14500,14,320247
14200,44,564824
14300,3,66192
14000,20,444874
14100,11,200100
14800,17,283720
Zip Code - 3 digits00,0,
12000,11,330854
12100,9,280446
12200,13,151022
10900,34,537311
12400,7,154261
12500,22,448672
12600,5,86794
12700,4,99295
12800,20,225336
12900,4,164172
10000,130,1502501
14900,4,49642
10600,8,81120
10700,28,227049
10400,233,1382480
10500,44,646012
13300,3,142936
11400,80,728928
11700,158,1565949
12300,7,162643
OOS00,75,
11100,10,204715
10300,55,468730
11000,17,246333
